"author","birth","death","wikipageid","books","bio"
"David Newman (screenwriter)",1937-02-04,2003-06-26,5562506,"It's a Bird...It's a Plane...It's Superman","David Newman (February 4, 1937 – June 27, 2003) was an American screenwriter. From the late 1960s through the early 1980s he frequently collaborated with Robert Benton. He was married to fellow writer Leslie Newman, with whom he had two children, until the time of his death. He died in 2003 of conditions from a stroke."
"Alice McDermott",1953-06-27,,1144278,"Someone (book)|After This|That Night (novel)","Alice McDermott (born June 27, 1953) is an American writer and university professor. For her 1998 novel Charming Billy she won an American Book Award and the U.S. National Book Award for Fiction. McDermott is Johns Hopkins University's Richard A. Macksey Professor of the Humanities."
"Minoru Kawakami",1975-01-03,,46296924,"Horizon in the Middle of Nowhere|The Ending Chronicle","Minoru Kawakami (川上稔 Kawakami Minoru) is a Japanese author of light novels, best known as the author of the Horizon in the Middle of Nowhere and The Ending Chronicle light novel series."
"Thomas Bernhard",1931-02-09,1989-02-12,1048113,"Correction (novel)|Frost (novel)|The Loser|Old Masters (novel)|Extinction (Bernhard novel)|Yes (novel)|Wittgenstein's Nephew|Gargoyles (novel)|Woodcutters (novel)|The Lime Works|On the Mountain","Thomas Bernhard ([ˈtoːmas ˈbɛʁnhaʁt]; born Nicolaas Thomas Bernhard; February 9, 1931 – February 12, 1989) was an Austrian novelist, playwright and poet. Bernhard, whose body of work has been called ""the most significant literary achievement since World War II,"" is widely considered to be one of the most important German-speaking authors of the postwar era."
"Winifred Holtby",1898-06-23,1935-09-29,1951282,"South Riding (2011 miniseries)","Winifred Holtby (23 June 1898 – 29 September 1935) was an English novelist and journalist, best known for her novel South Riding."
"Faye Kellerman",1952-07-31,,256746,"Sacred and Profane|Naked Came the Phoenix","Faye Marder Kellerman (born July 31, 1952) is an American writer of mystery novels, in particular the ""Peter Decker/Rina Lazarus"" series as well as three non-series books, The Quality of Mercy, Moon Music and Straight into Darkness."
"Trenton Lee Stewart",1970-05-27,,17238739,"The Mysterious Benedict Society and the Prisoner's Dilemma|The Extraordinary Education of Nicholas Benedict|The Mysterious Benedict Society and the Perilous Journey|The Mysterious Benedict Society","Trenton Lee Stewart (born 1970) is an American author best known for the Mysterious Benedict Society series. Stewart is a graduate of Hendrix College and the Iowa Writers' Workshop. He lives in Little Rock, AR."
"Callie Khouri",1957-11-27,,3633994,"Hollis & Rae","Carolyn Ann ""Callie"" Khouri (born November 27, 1957) is a Lebanese American film and television screenwriter, producer, feminist, and director. In 1992 she won the Academy Award for Best Screenplay Written Directly for the Screen for the film Thelma & Louise, which was controversial upon its release because of its progressive representation of gender politics, but which subsequently became a classic. Khouri's most recent movie, Mad Money, was released in 2008. On October 10, 2012, Khouri's television series, Nashville, premiered on ABC. The critics awarded it strong reviews."
"Vladimir Obruchev",1863-09-28,1956-06-19,2832671,"Plutonia (novel)","Vladimir Afanasyevich Obruchev (Russian: Влади́мир Афана́сьевич О́бручев; October 10 [O.S. September 28] 1863, Klepenino near Rzhev, Tver Oblast, Russian Empire – June 19, 1956, Moscow, USSR) was a Russian and Soviet geologist who specialized in the study of Siberia and Central Asia. He was also one of the first Russian science fiction authors."
"Aaron McGruder",1974-05-29,,398867,"The Boondocks (TV series)","Aaron McGruder (born May 29, 1974) is an American writer, producer, and cartoonist best known for writing and drawing The Boondocks, a Universal Press Syndicate comic strip about two young African-American brothers, Huey (named after Huey P. Newton) and his younger brother and wannabe gangsta, Riley, from inner-city Chicago now living with their grandfather in a sedate suburb, as well as being the creator, executive producer, and head writer of The Boondocks animated TV series based on his strip. He was also a screenwriter on Red Tails, and co-author, with Reginald Hudlin, of a 2004 graphic novel, Birth of a Nation: A Comic Novel, drawn by cartoonist Kyle Baker. Other projects include variety comedy series The Super Rumble Mix Show and Black Jesus, the latter on Adult Swim. He is a frequent public speaker on political and cultural issues."
"Enid Blyton",1897-08-11,1968-11-28,10258,"Five Are Together Again|Five Go to Demon's Rocks|The Castle of Adventure|Five on a Treasure Island|The O'Sullivan Twins|The Twins at St. Clare's|Five Go to Mystery Moor|Five Go to Billycock Hill|Five on a Secret Trail|The Mystery of the Disappearing Cat|The Mystery of Banshee Towers|The Island of Adventure|Five on a Hike Together|Five Run Away Together|The Naughtiest Girl Again|Five on Finniston Farm|Five Go Down to the Sea|The Famous Five (1970s TV series)|The Famous Five (1990s TV series)|The Valley of Adventure|The Enchanted Wood (novel)|Five Get into Trouble|The Sixth Form at St. Clare's|Five Fall into Adventure|Five on Kirrin Island Again|Five Have Plenty of Fun|Five Go to Smuggler's Top|Five Go Off in a Caravan|The Mystery of Holly Lane|The Naughtiest Girl in the School|Five Get into a Fix|The Magic Faraway Tree (novel)|The Third Form at St. Clare's|Summer Term at St. Clare's|The Naughtiest Girl is a Monitor|Five Go Off to Camp|Five Go Adventuring Again|The Mystery of the Strange Messages|The Second Form at St. Clare's|Five Have a Mystery to Solve|Claudine at St.Clare's|Five Have a Wonderful Time|The Mystery of the Missing Man|The Mystery of the Burnt Cottage","Enid Mary Blyton (11 August 1897 – 28 November 1968) was an English children's writer whose books have been among the world's best-sellers since the 1930s, selling more than 600 million copies. Blyton's books are still enormously popular, and have been translated into almost 90 languages; her first book, Child Whispers, a 24-page collection of poems, was published in 1922. She wrote on a wide range of topics including education, natural history, fantasy, mystery, and biblical narratives and is best remembered today for her Noddy, Famous Five, Secret Seven, and Adventure series. Following the commercial success of her early novels such as Adventures of the Wishing Chair (1937) and The Enchanted Wood (1939), Blyton went on to build a literary empire, sometimes producing fifty books a year in addition to her prolific magazine and newspaper contributions. Her writing was unplanned and sprang largely from her unconscious mind; she typed her stories as events unfolded before her. The sheer volume of her work and the speed with which it was produced led to rumours that Blyton employed an army of ghost writers, a charge she vigorously denied. Blyton's work became increasingly controversial among literary critics, teachers and parents from the 1950s onwards, because of the alleged unchallenging nature of her writing and the themes of her books, particularly the Noddy series. Some libraries and schools banned her works, which the BBC had refused to broadcast from the 1930s until the 1950s because they were perceived to lack literary merit. Her books have been criticised as being elitist, sexist, racist, xenophobic and at odds with the more liberal environment emerging in post-war Britain, but they have continued to be best-sellers since her death in 1968. Blyton felt she had a responsibility to provide her readers with a strong moral framework, so she encouraged them to support worthy causes. In particular, through the clubs she set up or supported, she encouraged and organised them to raise funds for animal and paediatric charities. The story of Blyton's life was dramatised in a BBC film entitled Enid, featuring Helena Bonham Carter in the title role and first broadcast in the United Kingdom on BBC Four in 2009. There have also been several adaptations of her books for stage, screen and television."
"Jonathan Littell",1967-10-10,,7395831,"The Kindly Ones (Littell novel)","Jonathan Littell (born 10 October 1967) is a writer living in Barcelona. He grew up in France and the United States and is a citizen of both countries. After acquiring his bachelor's degree he worked for a humanitarian organisation for nine years, leaving his job in 2001 in order to concentrate on writing. His first novel written in French, The Kindly Ones (2006; Les Bienveillantes), won two major French awards, including the Prix Goncourt and the Prix de l'Académie française."
"Stieg Larsson",1954-08-15,2004-11-09,11240679,"The Girl with the Dragon Tattoo|The Girl Who Kicked the Hornets' Nest|The Girl Who Played with Fire","Karl Stig-Erland ""Stieg"" Larsson (/stiːɡ ˈlɑːrsən/; [ˈkɑːɭ ˈstiːɡ ˈæːɭand ˈlɑːʂɔn]; 15 August 1954 – 9 November 2004) was a Swedish journalist and writer. He is best known for writing the ""Millennium trilogy"" of crime novels, which were published posthumously. Larsson lived much of his life in Stockholm and worked there in the field of journalism and as an independent researcher of right-wing extremism. He was the second best-selling author in the world for 2008, behind Khaled Hosseini. The third novel in the Millennium trilogy, The Girl Who Kicked the Hornets' Nest, became the most sold book in the United States in 2010 according to Publishers Weekly. By March 2015, his series had sold 80 million copies worldwide."
"José Zorrilla",1817-02-21,1893-01-23,58869,"Don Juan Tenorio","José Zorrilla y Moral ([xoˈse θoˈriʎa]; 21 February 1817 – 23 January 1893) was a Spanish Romantic poet and dramatist."
"Luigi Pirandello",1867-06-28,1936-12-10,18707,"Liolà|One, No One and One Hundred Thousand|Six Characters in Search of an Author|The Turn (novel)|Tonight We Improvise|Each In His Own Way|L'Esclusa|Right You Are (if you think so)","Luigi Pirandello ([luˈiːdʒi piranˈdɛllo]; Agrigento 28 June 1867 –Rome 10 December 1936) was an Italian dramatist, novelist, poet and short story writer. He was awarded the 1934 Nobel Prize in Literature for his ""bold and brilliant renovation of the drama and the stage"". Pirandello's works include novels, hundreds of short stories, and about 40 plays, some of which are written in Sicilian. Pirandello's tragic farces are often seen as forerunners of the Theatre of the Absurd."
"Elizabeth Burgoyne Corbett","1846","1930",32008396,"New Amazonia","Elizabeth Burgoyne Corbett (1846–1930), also known as Mrs George Corbett, was an English feminist writer, best known for her novel New Amazonia: A Foretaste of the Future (1889). Many of her novels were written in the form of magazine serials and not published in book form. Her 1894 novel When the Sea Gives Up Its Dead features one of the earliest female detectives in fiction, Annie Cory."
"Charles R. Jackson",1903-04-06,1968-09-21,2419083,"The Lost Weekend (novel)","Charles Reginald Jackson (April 6, 1903 – September 21, 1968) was an American author, widely known for his 1944 novel The Lost Weekend."
"Keitarō Arima",1969-01-13,,5593698,"Tsukuyomi: Moon Phase","Keitarō Arima (有馬 啓太郎 Arima Keitarō, born on January 13, 1969) is a Japanese manga artist. He was a member of the Manga Dōkōkai OB at Kansai University. His pen names include Pitarō Arima (有馬 秘太郎 Arima Pitarō), Haruo Arima (有馬 晴臣 Arima Haruo) and Pīttarō Arima (有馬 ピーッ太郎 Arima Pīttarō)."
"Ursula K. Le Guin",1929-10-21,,32037,"A Wizard of Earthsea|A Man of the People (short story)|Lathe of Heaven (film)|The Lathe of Heaven|The Matter of Seggri|Rocannon's World|The Word for World Is Forest|City of Illusions|Malafrena|Planet of Exile|The Birthday of the World|The Ones Who Walk Away from Omelas|The Beginning Place|Lavinia (novel)|Dancing at the Edge of the World|Winter's King|Always Coming Home|Tales from Earthsea|The Other Wind|Earthsea (miniseries)|The Language of the Night|The Shobies' Story|The Dispossessed|Four Ways to Forgiveness|The Wind's Twelve Quarters|The Compass Rose|Tehanu|The Left Hand of Darkness|The Day Before the Revolution|Changing Planes|Nine Lives (novelette)|Orsinian Tales|The Farthest Shore|The Rule of Names|The Word of Unbinding|Unlocking the Air and Other Stories|The Telling|Buffalo Gals, Won't You Come Out Tonight|The Tombs of Atuan|A Fisherman of the Inland Sea|The Eye of the Heron|Steering the Craft|The Wife's Story","Ursula Kroeber Le Guin (/ˈɜːrsələ ˈkroʊbər ləˈɡwɪn/; born October 21, 1929) is an American author of novels, children's books, and short stories, mainly in the genres of fantasy and science fiction. She has also written poetry and essays. First published in the 1960s, her work has often depicted futuristic or imaginary alternative worlds in politics, the natural environment, gender, religion, sexuality and ethnography. She influenced such Booker Prize winners and other writers as Salman Rushdie and David Mitchell – and notable science fiction and fantasy writers including Neil Gaiman and Iain Banks. She has won the Hugo Award, Nebula Award, Locus Award, and World Fantasy Award, each more than once. In 2014, she was awarded the National Book Foundation Medal for Distinguished Contribution to American Letters. Le Guin has resided in Portland, Oregon since 1959."
"Aleksandr Dugin",1962-01-07,,929468,"The Fourth Political Theory|Foundations of Geopolitics","Aleksandr Gelyevich Dugin (Russian: Алекса́ндр Ге́льевич Ду́гин; born 7 January 1962) is a Russian political scientist known for his fascist views and who calls to hasten the ""end of times"" with all out war. He has close ties with the Kremlin and the Russian military, having served as an advisor to State Duma speaker and key member of the ruling United Russia party Sergei Naryshkin. Dugin was the leading organizer of the National Bolshevik Party, National Bolshevik Front, and Eurasia Party. He is the author of more than 30 books, among them Foundations of Geopolitics and The Fourth Political Theory. He focuses on the restoration of the Russian Empire through the unification of Russian-speaking territories, which roughly corresponds to the former Soviet republics, such as Georgia and Ukraine, and unification with Russian-speaking territories, especially eastern Ukraine and Crimea. In the Kremlin, Dugin represents the ""war party"", a division in the heart of the leadership concerning Ukraine, and is seen as the driving conceptual force behind Vladimir Putin's initiative for the annexation of Crimea by Russia. According to his geopolitical views, he considers the war between Russia and Ukraine to be inevitable and appeals for Putin to start military intervention in eastern Ukraine. Believing that the so-called fifth column has been working for two decades to destroy Russia's sovereignty from the inside, he proposed in 2014 to strip all dissidents, including musician Andrei Makarevich, from their Russian citizenship and deport them from the country."
"Belle de Jour (writer)",1975-11-05,,5774889,"The Intimate Adventures of a London Call Girl","Brooke Magnanti (born November 1975) is an American-born naturalised British research scientist, blogger, and writer, who, until her identity was revealed in November 2009, was known by the pen name Belle de Jour. While completing her doctoral studies, between 2003 and 2004, Magnanti supplemented her income by working as a London call girl known by the working name Taro. Her diary, published as the anonymous blog Belle de Jour: Diary of a London Call Girl, became increasingly popular as speculation surrounded the identity of Belle de Jour. Remaining anonymous, Magnanti went on to have her experiences published as The Intimate Adventures of a London Call Girl in 2005 and The Further Adventures of a London Call Girl in 2006. Her first two books were UK top 10 best-sellers in the nonfiction hardback and nonfiction paperback lists. In 2007 Belle's blogs and books were adapted into a television programme, Secret Diary of a Call Girl starring Billie Piper as Belle, with the real name Hannah Baxter. In November 2009, fearing her real identity was about to come out, Magnanti revealed her real name and occupation as a child health scientist."
"Meltem Arıkan",1968-01-07,,23687210,"Mi Minör","Meltem Arıkan (born January 7, 1968 in Ankara) is a Turkish novelist and playwright."
"Andrius Tapinas",1977-04-06,,40461883,"Hour of the Wolf (novel)","Andrius Balys Tapinas (born April 6, 1977), is a Lithuanian science fiction writer. He is also the anchor of a long-running popular Lithuanian TV programme “The Money Generation”. Tapinas was born and currently resides in Vilnius. He gained a bachelor's degree in International Economics in 1998 at Vilnius University and became one of the youngest TV hosts in Lithuania anchoring a morning television show “Good Morning Lithuania”. In 2003 Tapinas started his own TV programme about business “The Money Generation”. The programme has been running for 10 seasons, and the 11th season is airing in early September 2013."
"Nancy Yi Fan",1993-08-26,,10591023,"Sword Quest|Swordbird","Nancy Yi Fan (born August 26, 1993 Chinese: 范禕) is a Chinese American author who is best known for writing a series that currently consists of the novels Swordbird, Sword Quest, and Sword Mountain."
"Harriet Ann Jacobs",1813-02-11,1897-03-07,366334,"Incidents in the Life of a Slave Girl","Harriet Ann Jacobs (February 11, 1813 – March 7, 1897) was an African-American writer who escaped from slavery and was later freed. She became an abolitionist speaker and reformer. Jacobs wrote an autobiographical novel, Incidents in the Life of a Slave Girl, first serialized in a newspaper and published as a book in 1861 under the pseudonym Linda Brent. It was a reworking of the genres of slave narrative and sentimental novel, and was one of the first books to address the struggle for freedom by female slaves, and to explore their struggles with sexual harassment and abuse, and their effort to protect their roles as women and mothers. After being overshadowed by the Civil War, the novel was rediscovered in the late 20th century, when there was new interest in minority and women writers. One scholar researched the novel, identifying Harriet Jacobs as the author and documenting many events and people in her life that corresponded to this fictionalized, autobiographical account."
"Cory Doctorow",1971-07-17,,220477,"For the Win|With a Little Help|The Complete Idiot's Guide to Publishing Science Fiction|Overclocked: Stories of the Future Present|Homeland (Cory Doctorow novel)|/usr/bin/god|Down and Out in the Magic Kingdom|Eastern Standard Tribe|Someone Comes to Town, Someone Leaves Town|Little Brother (Doctorow novel)|The Rapture of the Nerds|A Place So Foreign and Eight More|Pirate Cinema (novel)|Makers (novel)","Cory Efram Doctorow (/ˈkɒri ˈdɒktəroʊ/; born July 17, 1971) is a Canadian-British blogger, journalist, and science fiction author who serves as co-editor of the blog Boing Boing. He is an activist in favour of liberalising copyright laws and a proponent of the Creative Commons organization, using some of their licenses for his books. Some common themes of his work include digital rights management, file sharing, and post-scarcity economics."
"Kamleshwar",1932-01-06,2007-01-27,3142561,"Kitne Pakistan","Kamleshwar (Hindi: कमलेश्वर; 6 January 1932 – 27 January 2007) was a prominent 20th-century Hindi writer, and scriptwriter for Hindi cinema and television. Among his most well-known work are the films Aandhi, Mausam, Chhoti Si Baat and Rang Birangi. He was awarded the 2003 Sahitya Akademi Award for his Hindi novel Kitne Pakistan (translated in English as Partitions), and also the Padma Bhushan in 2005. Considered a part of the league of Hindi writers like Mohan Rakesh, Nirmal Verma and Bhisham Sahni, who left the old pre-independence, literary preoccupations and presented the new sensibilities, that reflected new moorings of a post-independence India, thus launching, the Hindi literature's Nayi Kahani (""New Story"") movement in the 1950s,"
"Kim Stanley Robinson",1952-03-23,,16807,"Icehenge|Antarctica (novel)|Escape from Kathmandu|2312 (novel)|The Planet on the Table|Shaman (novel)|Aurora (novel)|A Short, Sharp Shock|Sixty Days and Counting|The Years of Rice and Salt|Mars trilogy|Galileo's Dream|Fifty Degrees Below|Forty Signs of Rain|The Memory of Whiteness","Kim Stanley Robinson (born March 23, 1952) is an American writer of speculative science-fiction. He has published nineteen novels and numerous short stories but is best known for his Mars trilogy. Many of his novels and stories have ecological, cultural and political themes running through them and often feature scientists as heroes. Robinson has won numerous awards including the Hugo Award for Best Novel, the Nebula Award for Best Novel and the World Fantasy Award. Robinson's work has been labeled by the Atlantic as ""the gold-standard of realistic, and highly literary, science-fiction writing"". According to an article in the New Yorker, Robinson is ""generally acknowledged as one of the greatest living science-fiction writers."""
"Eric Schlosser",1959-08-17,,751045,"Fast Food Nation|Reefer Madness (2003 book)","Eric Matthew Schlosser (born August 17, 1959) is an American journalist and author known for investigative journalism, such as in his books Fast Food Nation (2001), Reefer Madness (2003), and Command and Control: Nuclear Weapons, the Damascus Accident, and the Illusion of Safety (2013)."
"Alan Brennert","1954",,7201394,"The Lake (1998 film)","Alan Brennert (born 1954 in Englewood, New Jersey) is an American author, television producer and screenwriter. Brennert has lived in Southern California since 1973 and completed graduate work in screenwriting at the University of California Los Angeles."
"McKenzie Wark",1961-09-10,,8776885,"A Hacker Manifesto","McKenzie Wark (born 10 September 1961) is an Australian-born writer and scholar. Wark is known for his writings on media theory, critical theory, new media, and the Situationist International. His best known works are A Hacker Manifesto and Gamer Theory. He is Professor of Media and Cultural Studies at The New School in New York City."
"Gilbert King (author)",1962-02-22,,40372149,"Devil in the Grove","Gilbert Anthony King (born February 22, 1962) is an American writer and photographer. He is known best as the author of Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America (2012), which won the Pulitzer Prize. His previous history was The Execution of Willie Francis: Race, Murder, and the Search for Justice in the American South (2008). He has written for The New York Times and The Washington Post, and he is a featured contributor to the Smithsonian's history blog Past Imperfect. As a photographer, his work has appeared in many magazines including international editions of Vogue, Harper's Bazaar, Marie Claire, and Cosmopolitan."
"K. A. Bedford","1963",,25751573,"Eclipse (K. A. Bedford novel)|Time Machines Repaired While-U-Wait","Kenneth Adrian Bedford, better known under the pseudonym of K. A. Bedford, is an Australian writer of science fiction."
"Sallyann Amdur Sack","1936",,39962572,"Where Once We Walked","Sallyann Amdur Sack is an American genealogist and psychologist, and editor of Avotaynu Magazine, a journal of Jewish Genealogy and scholarship. Sack is the only genealogist listed in Jewish Women in America. She was instrumental in founding the International Institute for Jewish Genealogy (currently chairperson of the board), Jewish Genealogy Society of Greater Washington (founding president), International Association of Jewish Genealogical Societies, and Avotaynu. Sack has chaired or co-chaired seven of the annual conferences on Jewish genealogy, authored seven books of use to genealogists and has consulted on numerous projects. A recipient of IAJGS Lifetime Achievement Award, she resides in Bethesda, Maryland, where she is a clinical psychologist in private practice, having received her degrees from Harvard University and George Washington University."
"William Goldman",1931-08-12,,33904,"A Family Affair (musical)|Father's Day (novel)|Hype and Glory|The Color of Light|The Thing of It Is...|Brothers (Goldman novel)|Boys and Girls Together|Wait Till Next Year|Wigger (novel)|The Silent Gondoliers|Tinsel (novel)|The Season: A Candid Look at Broadway|Marathon Man (novel)|Adventures in the Screen Trade|Which Lie Did I Tell?|Magic (novel)|Your Turn to Curtsy, My Turn to Bow|Control (novel)|The Princess Bride|Heat (Goldman novel)|The Big Picture: Who Killed Hollywood? and Other Essays|The Temple of Gold|Blood, Sweat and Stanley Poole","William Goldman (born August 12, 1931) is an American novelist, playwright, and screenwriter. He came to prominence in the 1950s as a novelist, before turning to writing for film. He has won two Academy Awards for his screenplays, first for the western Butch Cassidy and the Sundance Kid (1969) and again for All the President's Men (1976), about journalists who broke the Watergate scandal of President Richard Nixon. Both films starred Robert Redford. His other notable works include his thriller novel Marathon Man and comedy-fantasy novel The Princess Bride, both of which Goldman adapted for film. Author Sean Egan has described Goldman as ""one of the late twentieth century’s most popular storytellers."""
"Han Han",1982-01-15,,21553573,"Triple Door (novel)|Like a Speeding Youth","Han Han (born September 23, 1982) is a Chinese professional rally driver, best-selling author, singer, creator of Party, One (App magazine) and China's most popular blogger. He has published five novels to date, and is represented by the Hong Kong-based Peony Literary Agency. He is also involved in music production. In May 2010, Han Han was named one of the most influential people in the world by Time magazine. In September 2010, British magazine New Statesman listed Han Han at 48th place in the list of ""The World's 50 Most Influential Figures 2010"". In June 2010, Han Han was interviewed by CNN as China's rebel writer who has become the unofficial voice for his generation."
"Arturo Islas",1938-05-24,1991-02-15,3484738,"The Rain God","Arturo Islas, Jr. (May 25, 1938 – February 15, 1991), a native of El Paso, Texas, was a professor of English and a novelist, writing about the experience of Chicano cultural duality. He received three degrees from Stanford: a B.A. in 1960, a Masters in 1963 and a Ph.D. in 1971, when he joined the Stanford faculty. Islas was one of the first Chicanos in the United States to earn a Ph.D. in English. In 1976, he became the first Chicano faculty member to receive tenure at Stanford. Islas died on February 15, 1991 from complications related to AIDS."
"Antonio Tabucchi",1943-09-24,2012-03-25,1368363,"The Missing Head of Damasceno Monteiro|Indian Nocturne|It's Getting Later All the Time|Requiem: A Hallucination|Little Misunderstandings of No Importance|Pereira Maintains","Antonio Tabucchi ([anˈtɔnjo taˈbukki]; 24 September 1943 – 25 March 2012) was an Italian writer and academic who taught Portuguese language and literature at the University of Siena, Italy. Deeply in love with Portugal, he was an expert, critic and translator of the works of Fernando Pessoa from whom he drew the conceptions of saudade, of fiction and of the heteronyms. Tabucchi was first introduced to Pessoa's works in the 1960s when attending the Sorbonne. He was so charmed that, back in Italy, he attended a course of Portuguese language for a better comprehension of the poet. His books and essays have been translated in 18 countries, including Japan. Together with his wife, María José de Lancastre, he translated many works by Pessoa into Italian and has written a book of essays and a comedy about the writer. Tabucchi was awarded the French prize ""Médicis étranger"" for Indian Nocturne (Notturno indiano) and the premio Campiello, and the Aristeion Prize for Sostiene Pereira. In later life he was mentioned as a contender for the Nobel Prize in Literature, a feat he never achieved."
"Hilary Thayer Hamann",1962-11-07,,29874973,"Categories: On the Beauty of Physics","Hilary Thayer Hamann (born November 7, 1962, in New York City) is an American author. Her first novel, Anthropology of an American Girl, is the story of a search for authenticity told in the first-person voice of teenaged protagonist Eveline Auerbach. The semi-autobiographical literary novel contains an examination of the social and cultural pressures that prevent individuals from living meaningfully. It was self-published in 2003, and then edited and re-released in 2010 by Spiegel & Grau, an imprint of Random House, both times to critical praise. The novel has been compared to J.D. Salinger's The Catcher in the Rye. Hamann edited, co-wrote, and published a non-fiction science and art book, also to praise from critics, as well as from scientists and educators. Categories—On the Beauty of Physics (2006) was conceived as a multidisciplinary educational tool that uses art and literature to broaden the reader's understanding of challenging material. Alan Lightman, author of Einstein's Dreams, called Categories ""A beautiful synthesis of science and art, pleasing to the mind and to the eye,"" and Dr. Helen Caldicott, founder and president of the Nuclear Policy Research Institute, said, ""This wonderful book will provoke thought in lovers of science and art alike, and with knowledge comes the inspiration to preserve the beauty of life on Earth."""
"Xavier Herbert",1901-05-15,1984-11-10,1646604,"Capricornia (novel)|Poor Fellow My Country","Xavier Herbert (15 May 1901 – 10 November 1984) was an Australian writer best known for his Miles Franklin Award-winning novel Poor Fellow My Country (1975). He is considered one of the elder statesmen of Australian literature. He is also known for short story collections and his autobiography Disturbing Element. Herbert was born Alfred Jackson in Geraldton, Western Australia, in 1901, the illegitimate son of Amy Victoria Scammell and Benjamin Francis Herbert, a Welsh-born engine driver. He was registered at birth as Alfred Jackson, son of John Jackson, auctioneer, with whom his mother had already had two children. Before writing he worked many jobs in Western Australia and Victoria; his first job was in a pharmacy at the age of fourteen. He studied pharmacy at Perth Technical College and was registered as a pharmacist on 21 May 1923 as Alfred Xavier Herbert. He moved to Melbourne, and in 1935 enrolled at the University of Melbourne to study medicine. He started his writing career writing short stories for the popular magazine and newspaper market, publishing under a range of pseudonyms, the most common being Herbert Astor. He did not publish his first book, Capricornia, until 1938. Capricornia was in part based on Herbert's experiences as Protector of Aborigines in Darwin, though it was written in London between 1930 and 1932. It won the Australian Literature Society Gold Medal for Australia's Best Novel of 1939. The 1940s and 1950s were a relatively lean time for Herbert in terms of publication. He released Seven Emus (1959). In the 1960s he published two books, before the release of Poor Fellow My Country (1975), as well as a short story collection. Poor Fellow My Country is the longest Australian novel. Herbert was well known for his outspoken views on indigenous issues. He was a great champion of Aboriginal peoples, particularly those living in missions in Queensland and the Northern Territory. In his personal life he was considered difficult, and his wife Sadie said it was a choice between having children and looking after Xavier. Aware of his own mythology, he frustrated biographers by telling unreliable stories about his life and past. In 1977 the artist Ray Crooke painted a Portrait of Xavier Herbert followed in 1980 by a Portrait of Sadie Herbert. Professor Emeritus Laurie Hergenhan discusses the story behind the creation of these artworks, and another portrait by Crooke of Sir Zelman Cowen, in ""A Tale of Three Portraits."" Xavier Herbert died in 1984, aged 83."
"Ivan Vazov",1850-07-27,1921-09-22,411828,"A Newspaperman?","Ivan Minchoff Vazov (Bulgarian: Иван Минчов Вазов) (June 27, 1850 OS – September 22, 1921) was a Bulgarian poet, novelist and playwright, often referred to as ""the Patriarch of Bulgarian literature"". He was born in Sopot, a town in the Rose Valley of Bulgaria (then part of the Ottoman Empire). The works of Ivan Vazov reveal two historical epochs - the Bulgarian Renaissance and the Post-Liberation (from Ottoman Empire rule) epoch. Ivan Vazov holds the highest honorary title of the Bulgarian Academy of Sciences - Academician. He acted as Education and People Enlightenment Minister from September 7, 1897 until January 30th, 1899, representing the People's Party."
"Ian Doescher","1977",,40382185,"William Shakespeare's Star Wars: Verily, a New Hope","Ian Doescher /ˈdɛʃər/ (born 1977) is an American fiction writer, best known as the author of the plays in the William Shakespeare's Star Wars Trilogy series, Verily, a New Hope (2013), The Empire Striketh Back (2014), and The Jedi Doth Return (2014), parodic retellings of George Lucas's Star Wars film trilogy (1977–1983) in blank verse and 16th-century style of William Shakespeare."
"Robert Christgau",1942-04-18,,556641,"Going Into the City","Robert Thomas Christgau (/ˈkrɪstɡaʊ/; born April 18, 1942) is an American essayist, music journalist, and self-proclaimed ""Dean of American Rock Critics"". One of the earliest professional rock critics, he spent 37 years as the chief music critic and senior editor for The Village Voice, during which time he created the annual Pazz & Jop poll. He has also covered popular music for Esquire, Creem, Newsday, Playboy, Rolling Stone, Billboard, NPR, Blender, and MSN Music, and is a visiting arts teacher at New York University. Christgau is known for his terse capsule reviews, first published in his Consumer Guide columns during his tenure at The Village Voice from 1969 to 2006. He has written three books based on those columns, along with two collections of essays. He continued writing capsule reviews in MSN Music, Cuepoint, and Noisey, where they are currently published in his Expert Witness column."
